simhash,n_rows,sources,cross_source
8173063221869764254,1923,"['trec5', 'trec6', 'trec7']",True
13416852482701597523,859,"['trec5', 'trec6', 'trec7']",True
17707952155912755081,822,"['trec5', 'trec6', 'trec7']",True
10934724950206496678,513,"['trec5', 'trec6', 'trec7']",True
5690502293020126810,256,['trec7'],False
13024854926491103176,115,"['trec5', 'trec6', 'trec7']",True
17131034008264810329,109,"['trec5', 'trec6', 'trec7']",True
12711571700015186987,108,"['trec5', 'trec6', 'trec7']",True
3723819016958090779,108,['trec7'],False
18283946714346463193,67,['trec5'],False
814187749656737306,67,"['trec5', 'trec6', 'trec7']",True
12802649531410524344,65,['trec7'],False
17707450777670950873,64,"['trec5', 'trec6']",True
12999741551556127791,63,['trec5'],False
10123486280357988687,59,"['trec6', 'trec7']",True
13096266137485367177,49,['trec7'],False
1496514951988037011,47,"['trec5', 'trec6', 'trec7']",True
16754983439370464862,41,['trec7'],False
17707310040048377801,36,['trec5'],False
3530135793622036920,35,['trec7'],False
14973659540142515695,31,['trec7'],False
9407296756162230194,29,['trec7'],False
18283911529974374361,29,['trec5'],False
18283955510439485401,28,['trec5'],False
16757235239184150110,28,['trec7'],False
17707952155913803657,28,"['trec5', 'trec7']",True
18283911529974374345,27,"['trec5', 'trec6']",True
17707450777536733129,27,['trec5'],False
17707485962043039705,25,"['trec5', 'trec6']",True
7531611402515163742,25,['trec7'],False
9337491496762326968,24,['trec7'],False
17131034008265334617,24,"['trec5', 'trec6', 'trec7']",True
12802649531410000056,23,['trec7'],False
5761433961389660793,21,['trec7'],False
9821673507889595514,21,"['trec5', 'trec6', 'trec7']",True
18283920326067396553,21,"['trec5', 'trec6']",True
9337491496762326712,21,['trec7'],False
13416852482567379795,21,"['trec5', 'trec6', 'trec7']",True
17707450777670950857,20,['trec5'],False
14973660089898329583,20,"['trec5', 'trec7']",True
3723819034137959963,20,['trec7'],False
18283946714346463177,19,['trec5'],False
17707984591788748728,18,['trec5'],False
5681493968493387839,18,['trec7'],False
17707952155908560777,17,"['trec5', 'trec7']",True
18283946714346459097,17,['trec5'],False
18283955510439485385,17,['trec5'],False
12807434606016702648,16,['trec7'],False
13416852482701597267,15,['trec5'],False
3724381966911512091,15,['trec7'],False
5752707137601059453,15,['trec7'],False
17707494760560369625,15,['trec7'],False
7531611402515689054,14,['trec7'],False
17707952160207722377,14,"['trec5', 'trec7']",True
3579703828882234907,14,['trec7'],False
17130893270642761593,14,['trec5'],False
5761433961389660797,14,['trec7'],False
11934118785980268575,14,['trec7'],False
17707494760560365561,13,['trec7'],False
17707450777536733145,13,['trec5'],False
13324230496081095258,13,['trec5'],False
5690501167748128831,13,['trec7'],False
10490413001369108408,13,['trec7'],False
16977919047803593145,12,['trec6'],False
13096266137486415753,12,['trec7'],False
7531611402515688030,12,['trec7'],False
3674250981832110520,12,['trec7'],False
7531611402515164766,12,['trec7'],False
9407296756162230192,12,['trec7'],False
12730854305070820040,12,"['trec5', 'trec7']",True
5681493968493387837,12,['trec7'],False
6901540140423170855,12,"['trec5', 'trec7']",True
18283770792351801289,12,['trec5'],False
18283920326067396569,12,['trec5'],False
11940874185421324319,12,['trec7'],False
9337491496762257336,11,['trec7'],False
16977919047803595193,11,['trec6'],False
9337491496695218104,11,['trec7'],False
12999741551824563247,11,['trec5'],False
7975217086804893275,11,['trec7'],False
17707494777740234745,11,['trec7'],False
4518763755727794080,10,['trec5'],False
5762551090965032542,10,['trec7'],False
16754983439370463838,10,['trec7'],False
7531615800562199134,10,['trec7'],False
12822981650764522680,10,['trec7'],False
1497230298567319715,10,['trec5'],False
18283946714346459081,10,['trec5'],False
17995514097059806841,10,['trec7'],False
17396435258724540062,10,['trec5'],False
16754987837416974942,10,['trec7'],False
8335505035385478683,10,['trec7'],False
12822981646477919416,10,['trec7'],False
9337491496762261432,10,['trec7'],False
7987336977707083839,9,['trec7'],False
7987336977707081791,9,['trec7'],False
9337491496695217848,9,['trec7'],False
13416852482701597651,9,['trec5'],False
17707952155912750985,9,"['trec5', 'trec7']",True
10490413001369173944,9,['trec7'],False
18283911529840156617,9,['trec5'],False
11929615186352898079,9,['trec7'],False
11936370585793953823,9,['trec7'],False
18283955512863268857,9,['trec7'],False
9337491496762322872,9,['trec7'],False
17707459573763973065,9,"['trec5', 'trec6']",True
12807434606017751224,8,['trec7'],False
11943125976645074975,8,['trec7'],False
18283946714212241353,8,"['trec5', 'trec6']",True
7987336977707081789,8,['trec7'],False
18283955512867458041,8,['trec7'],False
18284412908216178569,8,"['trec5', 'trec7']",True
17707485962043035609,8,['trec5'],False
14503690548460959481,8,"['trec6', 'trec7']",True
17707310040182595545,7,['trec5'],False
16754983456617507418,7,['trec7'],False
17060115516858019672,7,['trec5'],False
17131034025444679545,7,['trec6'],False
9407296756162213810,7,['trec7'],False
17726016582551383992,7,['trec5'],False
11079335742805228741,7,['trec5'],False
18283946714614898649,7,['trec5'],False
10486012910251845819,7,['trec5'],False
18283946714346463225,7,['trec5'],False
9909508152183563001,7,['trec5'],False
18283911529840152521,7,['trec5'],False
11079335741731486917,7,['trec5'],False
11512626714293145071,7,['trec5'],False
5690501167748659837,7,['trec7'],False
17131034008264810361,7,"['trec5', 'trec6', 'trec7']",True
13272737294625741651,7,['trec5'],False
9337491496695152568,7,['trec7'],False
13416852482701597655,7,['trec5'],False
17707984591855988664,7,['trec5'],False
17707984591855857592,7,['trec5'],False
17707956553959266185,7,"['trec5', 'trec7']",True
13096266141780334473,7,['trec7'],False
15402141582642163640,7,['trec5'],False
17707318836141400009,7,['trec5'],False
17707354023072010233,7,['trec7'],False
17707459573763973081,7,['trec5'],False
17707952155909609353,7,['trec7'],False
9127857116435029595,7,['trec7'],False
17707494777739714553,7,['trec7'],False
12802649531410524345,6,['trec7'],False
9481242883826753705,6,['trec7'],False
10782784133938187371,6,['trec5'],False
9927531365778001144,6,['trec5'],False
18302181003309529129,6,['trec7'],False
10490404205276151736,6,['trec7'],False
13416853032457411411,6,['trec5'],False
17707485961908821961,6,['trec5'],False
17707998335688425464,6,['trec5'],False
9337491496695152312,6,['trec7'],False
13088591400501152875,6,['trec5'],False
9337482700602195896,6,['trec7'],False
17707494777739710457,6,['trec7'],False
13383895080184769121,6,['trec5'],False
13383895082332121697,6,['trec5'],False
13416852482567379923,6,"['trec5', 'trec6', 'trec7']",True
14826321301298458233,6,['trec5'],False
8173098406241853086,6,['trec5'],False
17707310040182595529,6,['trec5'],False
17707389205959333769,6,['trec7'],False
7996344176961824831,6,['trec7'],False
17707450777670946777,6,['trec5'],False
16555030651305908105,6,"['trec5', 'trec7']",True
15554445967792927983,6,['trec5'],False
5690483575562615421,6,['trec7'],False
5761433961389791869,6,['trec7'],False
17210709289440288831,6,['trec7'],False
16757235256431192666,6,['trec7'],False
17131034008131116921,6,['trec5'],False
18283955512863793113,6,['trec7'],False
18284342539471999753,6,['trec5'],False
18284412908216178441,6,['trec5'],False
255876330864444089,5,['trec7'],False
18283946714614894537,5,['trec5'],False
10186029699776177203,5,['trec6'],False
116402591538620583,5,['trec5'],False
17132164310512152185,5,['trec5'],False
18301619152867604521,5,['trec7'],False
17131034009338552153,5,['trec7'],False
18302181003317917737,5,['trec7'],False
901834265349196618,5,['trec5'],False
12802649531411572920,5,['trec7'],False
16757235256431454810,5,['trec7'],False
17698944956658014089,5,"['trec5', 'trec7']",True
11951570233529704479,5,['trec7'],False
9670369737170673721,5,['trec7'],False
12497324787671749513,5,['trec7'],False
12497324787671749505,5,['trec7'],False
12497324787671750529,5,['trec7'],False
17697544178906994571,5,['trec5'],False
6108201245259515803,5,['trec5'],False
9781810059983622058,5,['trec5'],False
11649728030830209208,5,['trec7'],False
17131034008264810333,5,['trec7'],False
14809432794105884281,5,['trec5'],False
8979357044630678305,5,['trec5'],False
17707494777736040441,5,['trec7'],False
13416852478406630227,5,['trec5'],False
10782784718120847595,5,['trec5'],False
10934724950206496686,5,"['trec5', 'trec6', 'trec7']",True
18283955512863264761,5,['trec7'],False
18301618053355976745,5,['trec7'],False
10071661814071674042,5,['trec5'],False
13096569697581394952,5,['trec5'],False
9267685167712630704,5,['trec7'],False
17707494777735516153,5,['trec7'],False
17707952155912754825,5,['trec5'],False
17707450777670946761,5,['trec5'],False
18283779588444823497,5,['trec5'],False
17210709289171853375,5,['trec7'],False
9337491496762257080,5,['trec7'],False
13007860897601719657,5,['trec5'],False
16756109339277306462,5,['trec7'],False
9495177011966734041,5,['trec5'],False
17707494758136061913,5,['trec5'],False
17707310040048375753,5,['trec5'],False
7533863202329374302,5,['trec7'],False
18283911529974370265,4,['trec5'],False
18301618053364365865,4,['trec7'],False
18301619152867605033,4,['trec7'],False
18301618053356108841,4,['trec7'],False
10186025301729403955,4,['trec6'],False
10490404205141868472,4,['trec7'],False
10490410802345852856,4,['trec7'],False
5459300342983598309,4,['trec5'],False
17131034008265330521,4,"['trec5', 'trec6']",True
10934724950206758822,4,['trec5'],False
11087058725842627768,4,['trec5'],False
11262742971247342777,4,['trec5'],False
9909059559610099195,4,['trec7'],False
18283911529974370249,4,['trec5'],False
16784261667510468378,4,['trec5'],False
17130893270776975193,4,['trec7'],False
16977919064983464377,4,['trec6'],False
12802649531412621496,4,['trec7'],False
18011276645814148729,4,['trec7'],False
18283770792486019017,4,['trec5'],False
12802649531411048632,4,['trec7'],False
12802649531410540728,4,['trec7'],False
12802649256532093112,4,['trec7'],False
12497324787671750537,4,['trec7'],False
17844440293288417452,4,"['trec5', 'trec7']",True
16757235256431454814,4,['trec7'],False
12091255760361129145,4,['trec5'],False
12305150771078229434,4,['trec7'],False
17130998823892721497,4,['trec7'],False
6281763101136022427,4,"['trec5', 'trec6', 'trec7']",True
5690501167748128829,4,['trec7'],False
5681493968493391935,4,['trec7'],False
5681493968493389887,4,['trec7'],False
17130998823892721499,4,['trec7'],False
833675070525112763,4,['trec7'],False
18283946714212245449,4,['trec5'],False
11645534280632476584,4,['trec7'],False
5690501167748659773,4,['trec7'],False
17131034008264806233,4,"['trec5', 'trec6', 'trec7']",True
5752698341508037245,4,['trec7'],False
5752426762134919805,4,['trec7'],False
1506219905636016291,4,['trec5'],False
13007825690744040152,4,['trec7'],False
9337491496762322616,4,['trec7'],False
9337491496762261176,4,['trec7'],False
9478995501687459771,4,['trec5'],False
9478995501721014203,4,['trec5'],False
12802800323101305005,4,['trec5'],False
9479354350200158130,4,['trec7'],False
3728885566538882587,4,['trec7'],False
16754983456617507422,4,['trec7'],False
12807399421641992376,4,['trec7'],False
9407296756162230178,4,['trec7'],False
16754983456617769566,4,['trec7'],False
16754984556061436506,4,['trec7'],False
16757235256431192670,4,['trec7'],False
16754984556129069658,4,['trec7'],False
12695006362201098603,4,['trec5'],False
3481762088496064347,4,['trec5'],False
3138795975477092841,4,['trec7'],False
17707345224554684361,4,['trec5'],False
15554375590728299627,4,['trec5'],False
15419593031198224312,4,['trec5'],False
9339530279214887613,4,['trec7'],False
7754265328673260603,4,['trec5'],False
17707952155912754953,4,['trec5'],False
9337491496695214008,4,['trec7'],False
9337491496628108984,4,['trec7'],False
13064057482085944427,4,['trec5'],False
13024857126588100584,4,['trec6'],False
3561377203442376350,4,['trec5'],False
17707952155912755113,4,"['trec5', 'trec6']",True
1345674524962754977,4,['trec5'],False
15402109146699061129,4,"['trec6', 'trec7']",True
13324230496081619546,4,['trec5'],False
13324231050140265082,4,['trec5'],False
13383885172643741081,4,['trec5'],False
1784891248937383407,4,['trec5'],False
1570204588234236971,4,['trec5'],False
13096230957488011961,4,['trec7'],False
13077688806235887497,4,['trec7'],False
7987336977707085887,4,['trec7'],False
15660838298202710745,4,['trec6'],False
8173626171823185566,4,['trec5'],False
8173063256229502622,4,['trec5'],False
8336067985338899995,4,['trec7'],False
13750650375623950323,4,['trec5'],False
14880362637106527227,4,['trec5'],False
8173063221865569950,4,['trec5'],False
17707485962043039689,4,['trec5'],False
17707494760559841273,4,['trec7'],False
8173063221870026398,4,['trec5'],False
8173063222943506078,4,['trec5'],False
17707927966944247800,4,['trec5'],False
17707485961908821977,4,['trec5'],False
17707485961908817865,4,"['trec5', 'trec6']",True
2795659684386309561,4,['trec5'],False
10075727792904367295,4,['trec5'],False
18283955512863267707,4,['trec7'],False
18283955530043662297,4,['trec7'],False
18301618053355977257,4,['trec7'],False
18301619152867735593,4,['trec7'],False
18302181003307433001,4,['trec7'],False
10773776376337697898,4,['trec5'],False
18283955512863267705,4,['trec7'],False
556167669517794186,3,['trec7'],False
18283955510707920841,3,['trec5'],False
10719011917277408984,3,['trec7'],False
10782783575659547883,3,['trec5'],False
10792144161377946539,3,['trec5'],False
10864103473085886170,3,['trec7'],False
10898696161777729510,3,['trec5'],False
10934654581462319014,3,"['trec6', 'trec7']",True
9932034965405371641,3,['trec5'],False
9932034973995306233,3,['trec5'],False
10934724950139387814,3,['trec5'],False
18302181003292751913,3,['trec7'],False
10075868530428372153,3,['trec5'],False
10076027008246031290,3,['trec5'],False
18284342539471999769,3,['trec5'],False
18292889597678170104,3,['trec5'],False
18301609257271343657,3,['trec7'],False
18301618053356107817,3,['trec7'],False
10076150701290761977,3,['trec5'],False
17707485962043035593,3,['trec5'],False
17707494760559845243,3,['trec7'],False
13452881279720561491,3,['trec6'],False
13513775641340724457,3,['trec5'],False
13532521980010080441,3,['trec5'],False
13601315678794526664,3,['trec7'],False
8173063221869764250,3,"['trec5', 'trec6']",True
8173063239049633438,3,['trec5'],False
17707881787168577417,3,"['trec5', 'trec7']",True
17707952147322820489,3,['trec7'],False
17707952155909085065,3,['trec7'],False
17707952155912624009,3,"['trec5', 'trec7']",True
2543132708143223007,3,['trec5'],False
13383895358320126136,3,['trec7'],False
8356194457411813552,3,['trec7'],False
8628801961117982235,3,['trec7'],False
8749523974173187742,3,['trec5'],False
8772226655002094113,3,['trec5'],False
17707459573629755337,3,['trec5'],False
8173098440601591454,3,['trec5'],False
13685624707663875243,3,['trec5'],False
13750791113112305651,3,['trec5'],False
14260420790237236384,3,['trec5'],False
14684610763070678246,3,['trec6'],False
14770039517264121432,3,['trec7'],False
14809432794105884537,3,['trec5'],False
8047274680842821211,3,['trec7'],False
15403749030120779683,3,['trec5'],False
9337489297604849336,3,['trec7'],False
13168514514312675254,3,['trec5'],False
13172251733004070889,3,['trec5'],False
13272737290313997139,3,['trec5'],False
13290751693135223635,3,['trec5'],False
13315241443063179898,3,['trec5'],False
13324230496081095194,3,['trec5'],False
13324230496097872474,3,['trec5'],False
13324248642326309498,3,['trec5'],False
13382823091382430137,3,['trec5'],False
9319263792979288251,3,['trec5'],False
17707954354936010633,3,"['trec5', 'trec6']",True
1506237497822060707,3,['trec5'],False
1557554472301373607,3,['trec5'],False
1702351366878051210,3,['trec7'],False
1711358566132792202,3,['trec7'],False
1784891248920606127,3,['trec5'],False
13088662319001143403,3,['trec5'],False
13096266137482221449,3,['trec7'],False
13096336508829432345,3,['trec5'],False
13109200239246438059,3,['trec5'],False
13113717603254851465,3,['trec7'],False
15554587820898505963,3,['trec5'],False
15618823404295665070,3,['trec5'],False
15835851463759482539,3,['trec5'],False
16360503392981347179,3,['trec5'],False
7974935611828182619,3,['trec7'],False
7975217082509925979,3,['trec7'],False
17707354023067815929,3,['trec7'],False
17707389205955139465,3,['trec7'],False
3169867488310799966,3,['trec7'],False
13024854926491103192,3,['trec7'],False
13024854930786070472,3,['trec7'],False
13032833542243976104,3,['trec5'],False
13065288892412710766,3,['trec5'],False
9337489297739071160,3,['trec7'],False
9337491488105283256,3,['trec7'],False
9337491488172392120,3,['trec7'],False
17707952155912755097,3,['trec7'],False
17707393604001650569,3,['trec7'],False
17707450777536729033,3,['trec5'],False
17707450777670948825,3,['trec5'],False
16365107983561720735,3,['trec5'],False
16753857539463621214,3,['trec7'],False
7532737302422530654,3,['trec7'],False
7754256532580174907,3,['trec5'],False
7759044304691109467,3,['trec7'],False
16754983439370529370,3,['trec7'],False
17707310040048377817,3,['trec5'],False
3579428286246267053,3,['trec5'],False
17708002184041906168,3,['trec5'],False
17708022524656932617,3,['trec5'],False
1488915949421136411,3,['trec7'],False
17725966554422237065,3,['trec7'],False
17725998990298230712,3,['trec5'],False
17725998990365339576,3,['trec5'],False
12999801954985537451,3,['trec5'],False
13007860278906227945,3,['trec5'],False
13016939015354353961,3,['trec5'],False
12802931006389332152,3,['trec7'],False
12807434606014605496,3,['trec7'],False
12807434606017767608,3,['trec7'],False
9405044956348544946,3,['trec7'],False
9407296756162164658,3,['trec7'],False
9407296756162213808,3,['trec7'],False
9433176442900721644,3,['trec5'],False
12915967740035669910,3,"['trec5', 'trec6']",True
17707984591855861752,3,['trec5'],False
17708002183974793144,3,['trec5'],False
17707318838423101401,3,['trec7'],False
17707345224554680281,3,['trec5'],False
16754983439437638234,3,['trec7'],False
16754983456550398554,3,['trec7'],False
16754983456617769562,3,['trec7'],False
16754984556128610906,3,['trec7'],False
16757235239184149086,3,['trec7'],False
16757235256431127130,3,['trec7'],False
17196713699873283425,3,['trec5'],False
12702564500760445995,3,['trec5'],False
12711571700017284139,3,['trec5'],False
9492925057432398140,3,['trec5'],False
9499265943272563897,3,['trec5'],False
9609995972599596280,3,['trec7'],False
12802649531410000057,3,['trec7'],False
12802649531410540729,3,['trec7'],False
12802649531412637880,3,['trec7'],False
9447611975706132771,3,['trec5'],False
9478995501284806587,3,['trec5'],False
18013528427910962809,3,['trec7'],False
18013528444017221209,3,['trec7'],False
18270938380412907449,3,"['trec6', 'trec7']",True
920217613986606267,3,['trec5'],False
920217613986671803,3,['trec5'],False
18283770792486019033,3,['trec5'],False
18283770794650279897,3,['trec7'],False
12497324791966716825,3,['trec7'],False
12597937287905048569,3,['trec7'],False
12670186157531243961,3,['trec6'],False
17697823454793357195,3,['trec5'],False
17697823454793471883,3,['trec5'],False
17697823454793488265,3,['trec5'],False
4012612343063223835,3,['trec7'],False
4017115942690594331,3,['trec7'],False
17697825653816611723,3,['trec5'],False
17698949354700330891,3,['trec5'],False
17703448556286431113,3,['trec7'],False
17707310040048373705,3,['trec5'],False
16757235256431389274,3,['trec7'],False
16757236355875646042,3,['trec7'],False
11943344632874325897,3,['trec7'],False
12222009640455274938,3,['trec7'],False
9630153042145454841,3,['trec5'],False
9652636405515134905,3,['trec5'],False
9678904568517635756,3,"['trec5', 'trec6']",True
12497324787654907777,3,['trec7'],False
12497324787671683977,3,['trec7'],False
17995505300966784633,3,['trec7'],False
16766247269000986008,3,['trec5'],False
16784261667510467994,3,['trec5'],False
16827042150166473306,3,['trec7'],False
16829285153887398490,3,['trec7'],False
16829293949980748378,3,['trec7'],False
16977919064983462329,3,['trec6'],False
17048704794565971053,3,['trec7'],False
17060124312946847610,3,['trec5'],False
17130849290294566873,3,['trec7'],False
17130858086404890585,3,['trec7'],False
6024808626346951869,3,['trec5'],False
18283942304711196057,3,['trec5'],False
814187749657785882,3,"['trec5', 'trec7']",True
11481203141171021049,3,['trec7'],False
11534674731994742650,3,['trec6'],False
11566700209853428656,3,['trec7'],False
11638476863604491701,3,['trec5'],False
11661134512602524857,3,['trec7'],False
11789347588458709179,3,['trec7'],False
9706399904433123029,3,['trec7'],False
11919738135444640649,3,['trec7'],False
11935709319708452843,3,['trec6'],False
6181890606661624875,3,['trec5'],False
5690502267260287549,3,['trec7'],False
17131025212171788121,3,['trec5'],False
17131034007996899161,3,"['trec5', 'trec6', 'trec7']",True
17131034008264810489,3,['trec7'],False
5128841630905691035,3,['trec5'],False
11019508993031088762,3,['trec5'],False
11050860481355703422,3,['trec5'],False
11079335741798595781,3,['trec5'],False
11206412911792336571,3,['trec5'],False
11244728710176814265,3,['trec5'],False
11262742971247343545,3,['trec5'],False
11262743108686296249,3,['trec5'],False
9912717508245080063,3,['trec5'],False
18283911530242809817,3,['trec5'],False
18283920328231133145,3,['trec7'],False
5448572282737770942,3,['trec7'],False
17131035107776438105,3,['trec7'],False
17140485778574266019,3,['trec5'],False
18302181003309530153,3,['trec7'],False
18302182102821157417,3,['trec7'],False
18301619152865508393,3,['trec7'],False
114119459907550904,3,['trec7'],False
10226576485483629739,3,['trec5'],False
10443193503830159851,3,['trec5'],False
10490404205276086200,3,['trec7'],False
10490412992779239352,3,['trec7'],False
10490413001234955960,3,['trec7'],False
10490413001301999544,3,['trec7'],False
10490413001369173688,3,['trec7'],False
18283946714614898633,3,['trec5'],False
18283955510439481305,3,['trec5'],False
552862070723036584,3,['trec7'],False
201792867871670689,2,['trec5'],False
18302181003307433513,2,['trec7'],False
18302181003309399081,2,['trec7'],False
18302182098526059049,2,['trec7'],False
18302182102821157929,2,['trec7'],False
18302459742591234040,2,['trec5'],False
18320368879191091070,2,['trec7'],False
18398935771836572714,2,['trec5'],False
18419523439990330281,2,['trec5'],False
18442044414270293165,2,['trec5'],False
18445733241431833641,2,['trec7'],False
18446296191385386025,2,['trec7'],False
18446296191391677481,2,['trec7'],False
18301618053364496425,2,['trec7'],False
18301619152865507369,2,['trec7'],False
271460683954530011,2,['trec6'],False
261199485960010634,2,['trec7'],False
260557111281984696,2,['trec5'],False
258947690466524042,2,['trec7'],False
258384186579795882,2,['trec7'],False
257135406793285886,2,['trec7'],False
255876202015425209,2,['trec7'],False
255876193425490617,2,['trec7'],False
254188990517658036,2,['trec7'],False
239997040056083635,2,['trec7'],False
206297841804673441,2,['trec5'],False
201971667276570787,2,['trec6'],False
201792870019137953,2,['trec5'],False
18301618053356108329,2,['trec7'],False
18301618053355977225,2,['trec7'],False
18301618053353880617,2,['trec7'],False
10145841587683142587,2,['trec5'],False
10144195475958311099,2,['trec5'],False
10143634051942788587,2,['trec7'],False
10143597347406061755,2,['trec5'],False
10122362681865291055,2,['trec5'],False
10118912217883821227,2,['trec7'],False
10111755481605333107,2,['trec7'],False
10091797687697978873,2,['trec7'],False
10085139749879227065,2,['trec5'],False
10078111527706059963,2,['trec5'],False
10078087635038481593,2,['trec5'],False
10077979594901251257,2,['trec5'],False
10076231373576289194,2,['trec7'],False
10076150701022358777,2,['trec5'],False
10076150159856446713,2,['trec5'],False
10076027008246031034,2,['trec5'],False
10258370023223010491,2,['trec7'],False
10258370023223009467,2,['trec7'],False
10252811169274144189,2,['trec7'],False
10226647953201514667,2,['trec5'],False
10222704047708694604,2,['trec5'],False
10219975070554088635,2,"['trec5', 'trec6']",True
10219948690898511035,2,['trec5'],False
10219948690864956603,2,['trec5'],False
10219948690864940219,2,['trec5'],False
10219843404070199995,2,['trec6'],False
10217852859166343599,2,['trec7'],False
10215761600528887035,2,['trec5'],False
10215338702750181051,2,['trec6'],False
10201969339322115257,2,['trec5'],False
10200490472652842174,2,['trec7'],False
10149310423447356648,2,['trec5'],False
10359515173866915514,2,['trec6'],False
10359454717909296795,2,['trec6'],False
10359436309206476345,2,['trec7'],False
10359418577604870331,2,['trec5'],False
10343870502224356283,2,['trec5'],False
10343729352016487859,2,['trec5'],False
10343674498948800433,2,['trec5'],False
10341861412723361977,2,['trec5'],False
10341686590171898097,2,['trec5'],False
10341439494764308121,2,['trec5'],False
10336197830607725497,2,['trec5'],False
10327923865756951787,2,['trec6'],False
10323847014379972347,2,['trec6'],False
10296643458003183098,2,['trec7'],False
10287713772172520953,2,['trec5'],False
10287538812325437482,2,['trec7'],False
10416146462679872763,2,['trec7'],False
10416146458385167611,2,['trec7'],False
10375340408721755307,2,['trec5'],False
10364389744485180921,2,['trec5'],False
10364309455286956680,2,['trec7'],False
10364292688876970147,2,['trec6'],False
10364230996384878267,2,['trec5'],False
10363958592143959227,2,"['trec6', 'trec7']",True
10363948428005286459,2,['trec6'],False
10363948427969881339,2,['trec7'],False
