column,n_missing,n_nonnull,missing_frac
sender,0,108685,0.0
sender_domain,494,108191,0.004545245434052537
receiver,0,108685,0.0
receiver_domain,2371,106314,0.021815337903114504
date,0,108685,0.0
subject,1455,107230,0.013387311956571744
content_types,1,108684,9.20090168836546e-06
body,1,108684,9.20090168836546e-06
urls,44633,64052,0.4106638450568156
url_count,0,108685,0.0
url_length_max,0,108685,0.0
url_length_avg,0,108685,0.0
url_subdom_max,0,108685,0.0
url_subdom_avg,0,108685,0.0
attachment_count,0,108685,0.0
has_attachments,0,108685,0.0
attachment_types,107019,1666,0.9846712977871831
language,1,108684,9.20090168836546e-06
source,1,108684,9.20090168836546e-06
label,1,108684,9.20090168836546e-06
