split_id,protocol,n_pairs,n_pairs_cross_source,n_pairs_within_source,n_rows_involved
random_cluster_disjoint_pooled_holdout_trec5_trec7,random_cluster_disjoint_pooled,0,0,0,0
holdout_trec5_trec7,source_disjoint,40705,40705,0,1475
cluster_disjoint_holdout_trec5_trec7,cluster_disjoint,0,0,0,0
joint_source_cluster_disjoint_holdout_trec5_trec7,joint_source_cluster_disjoint,0,0,0,0
random_seed42_eq_holdout_trec5_trec7,random_eqsize,359445,73668,285777,7021
random_seed42_fullmatch_holdout_trec5_trec7,random_fullmatch,198199,38067,160132,6568
random_cluster_disjoint_pooled_holdout_trec6_trec7,random_cluster_disjoint_pooled,0,0,0,0
holdout_trec6_trec7,source_disjoint,518677,518677,0,5035
cluster_disjoint_holdout_trec6_trec7,cluster_disjoint,0,0,0,0
joint_source_cluster_disjoint_holdout_trec6_trec7,joint_source_cluster_disjoint,0,0,0,0
random_seed42_eq_holdout_trec6_trec7,random_eqsize,684762,151308,533454,8023
random_seed42_fullmatch_holdout_trec6_trec7,random_fullmatch,670745,129523,541222,7992
random_cluster_disjoint_pooled_holdout_trec7,random_cluster_disjoint_pooled,0,0,0,0
holdout_trec7,source_disjoint,309652,309652,0,4922
cluster_disjoint_holdout_trec7,cluster_disjoint,0,0,0,0
joint_source_cluster_disjoint_holdout_trec7,joint_source_cluster_disjoint,0,0,0,0
random_seed42_eq_holdout_trec7,random_eqsize,668305,143189,525116,7946
random_seed42_fullmatch_holdout_trec7,random_fullmatch,667537,122033,545504,7992
random_cluster_disjoint_pooled_holdout_trec5,random_cluster_disjoint_pooled,0,0,0,0
holdout_trec5,source_disjoint,0,0,0,0
cluster_disjoint_holdout_trec5,cluster_disjoint,0,0,0,0
joint_source_cluster_disjoint_holdout_trec5,joint_source_cluster_disjoint,0,0,0,0
random_seed42_eq_holdout_trec5,random_eqsize,677108,147480,529628,7967
random_seed42_fullmatch_holdout_trec5,random_fullmatch,667633,134628,533005,7994
random_cluster_disjoint_pooled_holdout_trec5_trec6,random_cluster_disjoint_pooled,0,0,0,0
holdout_trec5_trec6,source_disjoint,0,0,0,0
cluster_disjoint_holdout_trec5_trec6,cluster_disjoint,0,0,0,0
joint_source_cluster_disjoint_holdout_trec5_trec6,joint_source_cluster_disjoint,0,0,0,0
random_seed42_eq_holdout_trec5_trec6,random_eqsize,685980,150169,535811,7992
random_seed42_fullmatch_holdout_trec5_trec6,random_fullmatch,690608,145824,544784,7969
random_cluster_disjoint_pooled_holdout_trec6,random_cluster_disjoint_pooled,0,0,0,0
holdout_trec6,source_disjoint,249730,249730,0,3868
cluster_disjoint_holdout_trec6,cluster_disjoint,0,0,0,0
joint_source_cluster_disjoint_holdout_trec6,joint_source_cluster_disjoint,0,0,0,0
random_seed42_eq_holdout_trec6,random_eqsize,343805,77251,266554,6939
random_seed42_fullmatch_holdout_trec6,random_fullmatch,211880,49468,162412,6486
