split_id,protocol,held_out_sources,test_size,test_positive_rate,rank,seed,matched_holdout,selected
random_seed42,random,,20962,,,42.0,,True
random_seed7,random,,20962,,,7.0,,True
random_seed123,random,,20962,,,123.0,,True
holdout_trec5_trec7,source_disjoint,trec5|trec7,90114,0.48046918347870476,1,,,True
random_seed42_eq_holdout_trec5_trec7,random,,90114,,,42.0,holdout_trec5_trec7,True
random_seed42_fullmatch_holdout_trec5_trec7,random,,90114,,,42.0,holdout_trec5_trec7,True
random_cluster_disjoint_pooled_holdout_trec5_trec7,random_cluster_disjoint_pooled,,90864,,,42.0,holdout_trec5_trec7,False
cluster_disjoint_holdout_trec5_trec7,cluster_disjoint,trec5|trec7,85621,,,,holdout_trec5_trec7,False
joint_source_cluster_disjoint_holdout_trec5_trec7,joint_source_cluster_disjoint,trec5|trec7,85621,,,,holdout_trec5_trec7,False
holdout_trec6_trec7,source_disjoint,trec6|trec7,58048,0.47426267916207276,2,,,True
random_seed42_eq_holdout_trec6_trec7,random,,58048,,,42.0,holdout_trec6_trec7,True
random_seed42_fullmatch_holdout_trec6_trec7,random,,58048,,,42.0,holdout_trec6_trec7,True
random_cluster_disjoint_pooled_holdout_trec6_trec7,random_cluster_disjoint_pooled,,60473,,,42.0,holdout_trec6_trec7,False
cluster_disjoint_holdout_trec6_trec7,cluster_disjoint,trec6|trec7,56500,,,,holdout_trec6_trec7,False
joint_source_cluster_disjoint_holdout_trec6_trec7,joint_source_cluster_disjoint,trec6|trec7,56500,,,,holdout_trec6_trec7,False
holdout_trec7,source_disjoint,trec7,43352,0.5539998154641078,3,,,True
random_seed42_eq_holdout_trec7,random,,43352,,,42.0,holdout_trec7,True
random_seed42_fullmatch_holdout_trec7,random,,43352,,,42.0,holdout_trec7,True
random_cluster_disjoint_pooled_holdout_trec7,random_cluster_disjoint_pooled,,43701,,,42.0,holdout_trec7,False
cluster_disjoint_holdout_trec7,cluster_disjoint,trec7,42165,,,,holdout_trec7,False
joint_source_cluster_disjoint_holdout_trec7,joint_source_cluster_disjoint,trec7,42165,,,,holdout_trec7,False
holdout_trec5,source_disjoint,trec5,46762,0.41230058594585345,4,,,True
random_seed42_eq_holdout_trec5,random,,46762,,,42.0,holdout_trec5,True
random_seed42_fullmatch_holdout_trec5,random,,46762,,,42.0,holdout_trec5,True
random_cluster_disjoint_pooled_holdout_trec5,random_cluster_disjoint_pooled,,44288,,,42.0,holdout_trec5,False
cluster_disjoint_holdout_trec5,cluster_disjoint,trec5,43275,,,,holdout_trec5,False
joint_source_cluster_disjoint_holdout_trec5,joint_source_cluster_disjoint,trec5,43275,,,,holdout_trec5,False
holdout_trec5_trec6,source_disjoint,trec5|trec6,61458,0.37087116404699144,5,,,True
random_seed42_eq_holdout_trec5_trec6,random,,61458,,,42.0,holdout_trec5_trec6,True
random_seed42_fullmatch_holdout_trec5_trec6,random,,61458,,,42.0,holdout_trec5_trec6,True
random_cluster_disjoint_pooled_holdout_trec5_trec6,random_cluster_disjoint_pooled,,60563,,,42.0,holdout_trec5_trec6,False
cluster_disjoint_holdout_trec5_trec6,cluster_disjoint,trec5|trec6,57723,,,,holdout_trec5_trec6,False
joint_source_cluster_disjoint_holdout_trec5_trec6,joint_source_cluster_disjoint,trec5|trec6,57723,,,,holdout_trec5_trec6,False
holdout_trec6,source_disjoint,trec6,14696,0.2390446379967338,6,,,True
random_seed42_eq_holdout_trec6,random,,14696,,,42.0,holdout_trec6,True
random_seed42_fullmatch_holdout_trec6,random,,14696,,,42.0,holdout_trec6,True
random_cluster_disjoint_pooled_holdout_trec6,random_cluster_disjoint_pooled,,13954,,,42.0,holdout_trec6,False
cluster_disjoint_holdout_trec6,cluster_disjoint,trec6,14252,,,,holdout_trec6,False
joint_source_cluster_disjoint_holdout_trec6,joint_source_cluster_disjoint,trec6,14252,,,,holdout_trec6,False
