bibkey,title,authors,year,venue,doi_or_official_url,verification_source,metadata_match,full_text_or_abstract_checked,claim_supported,status,notes
meajor_dataset_paper,MeAJOR Corpus: A Multi-Source Dataset for Phishing Email Detection,"Mendes, Paulo and Maia, Eva and Pra\c{c}a, Isabel",2025,arXiv preprint arXiv:2507.17978,https://arxiv.org/abs/2507.17978,arXiv record 2507.17978 (https://arxiv.org/abs/2507.17978),True,abstract and full text,True,verified,"Authors Mendes, Maia, Praca; DOI 10.48550/arXiv.2507.17978. Describes corpus construction from TREC-05/06/07, Nazario, Nigerian Fraud."
meajor_dataset_record,MeAJOR: Merged email Assets from Joint Open-source Repositories (v2.0),"Cardoso, Jo\~{a}o and Vitorino, Jo\~{a}o and Mendes, Paulo and Maia, Eva and Pra\c{c}a, Isabel",2026,"Zenodo record 18471483, CC-BY-4.0",https://zenodo.org/records/18471483,Zenodo record 18471483 API + record page,True,record metadata + file checksums,True,verified,"DOI 10.5281/zenodo.18471483, CC-BY-4.0, 108,685 samples, parquet gzip md5 78e397ad...; creators Cardoso, Vitorino, Mendes, Maia, Praca."
trec_spam_overviews,{TREC} 2005--2007 Spam Track Overviews,"Cormack, Gordon V. and Lynam, Thomas R.",2005--2007,Proceedings of the Fourteenth--Sixteenth Text REtrieval Conferences (TREC 2005--2007),,"trec.nist.gov published proceedings index (combined NIST SP 500-266, 500-272, 500-274)",True,"official overview documents (Cormack & Lynam 2005; Cormack 2006, 2007)",True,verified,"Combined cite key used in the manuscript for the TREC 2005/2006/2007 spam-track overviews; per-year entries (trec2005_spam, trec2006_spam, trec2007_spam) tracked separately for verification granularity."
nazario_phishing,Phishing Corpus,"Nazario, Jose",2004,Monkey.org wiki: https://monkey.org/~jose/wiki/PhishingCorpus,,monkey.org/~jose/wiki - PhishingCorpus page (Jose Nazario),True,repository description,True,verified,Community phishing e-mail corpus maintained by J. Nazario.
sklearn,Scikit-learn: Machine Learning in {Python},"Pedregosa, Fabian and Varoquaux, Ga{\""e}l and Gramfort, Alexandre and Michel, Vincent and Thirion, Bertrand and Grisel, Olivier and Blondel, Mathieu and Prettenhofer, Peter and Weiss, Ron and Dubourg, Vincent and Vanderplas, Jake and Passos, Alexandre and Cournapeau, David and Brucher, Matthieu and Perrot, Matthieu and Duchesnay, {\'E}douard",2011,Journal of Machine Learning Research,,"JMLR 12 (2011), pages 2825-2830",True,full text,True,verified,"Pedregosa et al., 2011."
liblinear,{LIBLINEAR}: A Library for Large Linear Classification,"Fan, Rong-En and Chang, Kai-Wei and Hsieh, Cho-Jui and Wang, Xiang-Rui and Lin, Chih-Jen",2008,Journal of Machine Learning Research,,"JMLR 9 (2008), pages 1871-1874",True,full text,True,verified,"Fan, Chang, Hsieh, Wang, Lin, 2008."
salton_buckley,Term-weighting approaches in automatic text retrieval,"Salton, Gerard and Buckley, Christopher",1988,Information Processing \& Management,,"Information Processing & Management 24(5):513-523, 1988",True,publisher record,True,verified,"Salton & Buckley, 1988."
mcnemar,Note on the sampling error of the difference between correlated proportions or percentages,"McNemar, Quinn",1947,Psychometrika,,"Psychometrika 12(2):153-157, 1947",True,publisher record,True,verified,"McNemar, 1947."
matthews,Comparison of the predicted and observed secondary structure of {T4} phage lysozyme,"Matthews, Brian W.",1975,Biochimica et Biophysica Acta,,"Biochimica et Biophysica Acta 405(2):442-451, 1975",True,publisher record,True,verified,"Matthews, 1975."
efron_tibshirani,An Introduction to the Bootstrap,"Efron, Bradley and Tibshirani, Robert J.",1993,,,"Chapman and Hall/CRC, 1993 (monograph)",True,publisher record,True,verified,"Efron & Tibshirani, 1993."
dataset_shift,Dataset Shift in Machine Learning,,2009,,,"MIT Press, 2009 (edited volume)",True,publisher record,True,verified,"Quionero-Candela, Sugiyama, Schwaighofer, Lawrence, 2009."
blanzieri_bryl,A survey of learning-based techniques of email spam filtering,"Blanzieri, Enrico and Bryl, Anton",2008,Artificial Intelligence Review,,"Artificial Intelligence Review 29(1):63-92, 2008",True,publisher record,True,verified,"Blanzieri & Bryl, 2008."
gupta_phishing,Fighting against phishing attacks: state of the art and future challenges,"Gupta, Brij B. and Tewari, Aakanksha and Jain, Ankit Kumar and Agrawal, Dharma P.",2017,Neural Computing and Applications,,"Neural Computing and Applications 28(10):3029-3054, 2017",True,publisher record,True,verified,"Gupta, Tewari, Jain, Agrawal, 2017."
chen_xgboost,{XGBoost}: A Scalable Tree Boosting System,"Chen, Tianqi and Guestrin, Carlos",2016,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (KDD '16),,DOI 10.1145/2939672.2939785 via doi.org,True,abstract and ACM record,True,verified,"Chen & Guestrin, KDD 2016; DOI 10.1145/2939672.2939785."
bhuiyan_fragility_2026,"The Fragility of Phishing Detection Models: Evidence from Cross-Corpus Transfer, Prevalence Shift, Artifact Learning, and Evasion Risk","Bhuiyan, Istiaque and Bhuiyan, Tanvir",2026,Big Data and Cognitive Computing,,DOI 10.3390/bdcc10070211 via doi.org,True,abstract and journal landing,True,verified,"Bhuiyan & Bhuiyan, BDCC 2026; DOI 10.3390/bdcc10070211. Cited in related work for cross-corpus transfer evidence."
gutierrez_crossmodel_2026,Cross-model evaluation of phishing detectors against LLM-generated emails,"Gutierrez, R. and Villegas-Ch, W. and Govea, J.",2026,Frontiers in Big Data,,DOI 10.3389/fdata.2026.1883452 via doi.org,True,abstract and journal landing,True,verified,"Gutierrez et al., Frontiers in Big Data 2026; DOI 10.3389/fdata.2026.1883452. Cited for cross-model calibration-discrimination finding."
